comune_key,date,arrivals_actual,arrivals_q95,arrivals_multiplier_q95
issogne,2025-09-01,86,201.889894254189,2.3475569099324303
jovencan,2025-01-01,586.9999999999999,789.358931036043,1.3447341244225608
jovencan,2025-02-01,654.9999999999998,1066.04616955656,1.6275514039031456
jovencan,2025-03-01,653.0000000000001,971.708536244006,1.48806820251762
jovencan,2025-04-01,609.0000000000002,950.370354032079,1.5605424532546448
jovencan,2025-05-01,499.9999999999999,684.483027524911,1.3689660550498224
jovencan,2025-06-01,496.99999999999994,588.035121790701,1.1831692591362195
jovencan,2025-07-01,709.9999999999998,1063.6043721981,1.498034327039578
jovencan,2025-08-01,811.9999999999997,1353.54699073939,1.6669297915509735
jovencan,2025-09-01,516,1193.94271772896,2.3138424762189147
la salle,2025-01-01,2435.999999999999,3172.15688116905,1.3021990480989536
la salle,2025-02-01,2592,4232.37242659321,1.6328597324819483
la salle,2025-03-01,1955.9999999999998,2851.08305479965,1.4576089237217027
la salle,2025-04-01,1235.9999999999995,1818.58142961195,1.4713441987151703
la salle,2025-05-01,1256.9999999999995,1700.65622619897,1.3529484695298095
la salle,2025-06-01,2320.0000000000005,2824.13293975205,1.2172986809276074
la salle,2025-07-01,3129,4773.24690502597,1.5254863870329083
la salle,2025-08-01,3926.999999999997,6453.54392403932,1.6433776226226955
la salle,2025-09-01,1488.0000000000005,3452.18141616561,2.3200143925844143
lillianes,2025-01-01,69.00000000000003,81.8676836918201,1.1864881694466678
lillianes,2025-02-01,64.99999999999997,96.1456864702523,1.4791644072346515
lillianes,2025-03-01,35.99999999999999,49.7421566511607,1.381726573643353
lillianes,2025-04-01,45,66.1426445178802,1.4698365448417823
lillianes,2025-05-01,107.99999999999997,148.86919544321,1.378418476326019
lillianes,2025-06-01,243.00000000000006,322.705028553129,1.3280042327289256
lillianes,2025-07-01,514.0000000000001,887.549878106396,1.726750735615556
lillianes,2025-08-01,535,999.451586415755,1.8681338063845887
lillianes,2025-09-01,162,393.431423753479,2.4285890355153024
montjovet,2025-01-01,510,670.223206666796,1.314163150327051
montjovet,2025-02-01,450.0000000000001,742.167175055623,1.6492603890124953
montjovet,2025-03-01,298.0000000000001,442.844691436119,1.4860560115306
montjovet,2025-04-01,210.99999999999997,312.349180613034,1.4803278702039526
montjovet,2025-05-01,733.9999999999999,1005.66106394539,1.3701104413424934
montjovet,2025-06-01,467.00000000000017,551.403179971994,1.180734860753734
montjovet,2025-07-01,565.9999999999998,880.565900441823,1.555770142123363
montjovet,2025-08-01,1095.0000000000005,1854.58272435905,1.6936828532959354
montjovet,2025-09-01,394.00000000000006,923.54630137919,2.3440261456324616
morgex,2025-01-01,1334.9999999999995,1721.80890303116,1.2897444966525549
morgex,2025-02-01,1419.0000000000005,2274.76851487672,1.6030785869462434
morgex,2025-03-01,1256,1810.8289648883,1.4417428064397293
morgex,2025-04-01,704.9999999999999,1054.63615741841,1.4959378119410074
morgex,2025-05-01,746.0000000000001,1017.69503628922,1.3642024615136994
morgex,2025-06-01,1308.9999999999998,1626.51427470705,1.2425624711283807
morgex,2025-07-01,2594.999999999999,4028.09139289197,1.5522510184554803
morgex,2025-08-01,2948.0000000000005,4971.55200962484,1.6864152000084258
morgex,2025-09-01,1191.9999999999998,2822.34488762328,2.36773899968396
nus,2025-01-01,1505,1967.50659828567,1.3073133543426378
nus,2025-02-01,1454.0000000000007,2299.00720125481,1.581160386007434
nus,2025-03-01,1597,2326.18346489505,1.4565957826518785
nus,2025-04-01,1023,1596.16782980373,1.5602813585569208
nus,2025-05-01,1446,2009.32746790566,1.389576395508755
nus,2025-06-01,1144.0000000000005,1396.61362528524,1.220816106018566
nus,2025-07-01,2260,3492.47936278801,1.545344850791155
nus,2025-08-01,2532.999999999999,4288.46428764271,1.6930376184929772
nus,2025-09-01,1036.0000000000002,2452.5850667006,2.3673601029928566
ollomont,2025-01-01,40.00000000000001,46.3511369764708,1.1587784244117698
ollomont,2025-02-01,14,22.3832239498988,1.5988017107070571
ollomont,2025-03-01,3.999999999999999,5.44091795102594,1.3602294877564851
ollomont,2025-04-01,2.0000000000000004,2.60049321330592,1.3002466066529599
ollomont,2025-05-01,16.999999999999996,23.3245327904818,1.3720313406165767
ollomont,2025-06-01,51.00000000000001,72.9017977216199,1.4294470141494096
ollomont,2025-07-01,314,555.731980550027,1.7698470718153725
ollomont,2025-08-01,357.9999999999999,717.901001774636,2.0053100608230063
ollomont,2025-09-01,61.00000000000001,163.808944274398,2.6853925290884915
oyace,2025-01-01,0,1.9341203622537e-4,193412.03622537
oyace,2025-02-01,6.999999999999998,11.4607915570473,1.637255936721043
oyace,2025-03-01,0,1.9472002278867e-4,194720.02278866997
oyace,2025-04-01,0,1.1652658808269e-4,116526.58808269
oyace,2025-05-01,3,4.05615913064017,1.3520530435467233
oyace,2025-06-01,10.000000000000002,11.7065413014901,1.1706541301490099
oyace,2025-07-01,17.999999999999996,26.7383761727199,1.4854653429288835
oyace,2025-08-01,20,31.9241212144797,1.596206060723985
