comune_key,performance_metric,Prophet,GAMM,Mixed
fenis,n_obs,9,9,9
fenis,MAE_kwh,25352.7087341842,14044.6906905768,21084.4961758768
fenis,RMSE_kwh,35988.669160808,21416.1972141591,24494.2566313611
fenis,Bias_kwh,21886.86213705,1082.26026129032,-10651.0716405966
fenis,MAPE_pct,15.7714739780864,8.68533321589363,11.6219554405052
fenis,delta_from_best_RMSE,14572.4719466489,0,3078.05941720201
fenis,underperform_flag,high_gap,ok,ok
fontainemore,n_obs,9,9,9
fontainemore,MAE_kwh,3426.49296962171,6086.8626018537,4101.9585596264
fontainemore,RMSE_kwh,5800.68177334414,6531.73076350957,5517.73793649454
fontainemore,Bias_kwh,1930.8307534084,-3789.13797659962,191.89214155457
fontainemore,MAPE_pct,8.3852147239107,12.1299373400125,9.10605298223912
fontainemore,delta_from_best_RMSE,282.943836849602,1013.99282701502,0
fontainemore,underperform_flag,ok,high_gap,ok
gaby,n_obs,8,8,8
gaby,MAE_kwh,11853.5199180072,49491.1375452123,52578.6207239331
gaby,RMSE_kwh,13823.3314091387,104591.984003325,118236.549369488
gaby,Bias_kwh,2679.71696531222,49491.1375452123,38682.2502990655
gaby,MAPE_pct,15.7099340166347,54.7791966932327,55.2639898588014
gaby,delta_from_best_RMSE,0,90768.6525941867,104413.217960349
gaby,underperform_flag,ok,ok,high_gap
gignod,n_obs,9,9,9
gignod,MAE_kwh,10233.7072790593,5834.69649526051,8415.16545503005
gignod,RMSE_kwh,10814.1048414626,6591.86035092718,8803.90989100211
gignod,Bias_kwh,10233.7072790593,-5678.82829957068,-8415.16545503005
gignod,MAPE_pct,17.8292536037473,9.40174319300177,14.1509716739798
gignod,delta_from_best_RMSE,4222.24449053542,0,2212.04954007493
gignod,underperform_flag,high_gap,ok,ok
gressan,n_obs,9,9,9
gressan,MAE_kwh,108898.889094481,37238.6769125369,77949.6443076196
gressan,RMSE_kwh,123553.183331229,54758.145514565,86423.803565528
gressan,Bias_kwh,-59827.6082157033,18419.8913399102,-42486.4383518983
gressan,MAPE_pct,11.0188986442473,5.01115097623702,9.70105386668674
gressan,delta_from_best_RMSE,68795.0378166635,0,31665.6580509631
gressan,underperform_flag,high_gap,ok,ok
gressoney la trinite,n_obs,9,9,9
gressoney la trinite,MAE_kwh,58402.3373513712,53939.9450719317,41542.3018415669
gressoney la trinite,RMSE_kwh,64294.4178430581,63951.0675553194,48433.7237896961
gressoney la trinite,Bias_kwh,37884.2623713258,48025.6068973991,-7421.57687820283
gressoney la trinite,MAPE_pct,13.9756403726333,14.9244505169997,9.94511345584782
gressoney la trinite,delta_from_best_RMSE,15860.694053362,15517.3437656232,0
gressoney la trinite,underperform_flag,high_gap,ok,ok
gressoney saint jean,n_obs,9,9,9
gressoney saint jean,MAE_kwh,41560.4786995124,47083.0305072418,39569.8605789525
gressoney saint jean,RMSE_kwh,48031.9413503546,56958.3458630983,46815.8727862596
gressoney saint jean,Bias_kwh,16452.0248503945,45149.9209445305,10965.9057001697
gressoney saint jean,MAPE_pct,15.8427568189538,19.2179131088768,15.943933992088
gressoney saint jean,delta_from_best_RMSE,1216.06856409505,10142.4730768388,0
gressoney saint jean,underperform_flag,ok,high_gap,ok
hone,n_obs,9,9,9
hone,MAE_kwh,13363.5009555415,15440.594630653,12275.4098830053
hone,RMSE_kwh,19164.2011470392,20077.2826493145,18400.3861030567
hone,Bias_kwh,12480.8195596807,15440.594630653,11335.5795802948
hone,MAPE_pct,11.6653365701998,12.9071300138852,11.0704253642606
hone,delta_from_best_RMSE,763.815043982471,1676.89654625782,0
hone,underperform_flag,ok,high_gap,ok
introd,n_obs,9,9,9
introd,MAE_kwh,5246.22269678476,8473.31178970634,5236.79487083546
introd,RMSE_kwh,10019.6593561278,11717.9932756126,9034.86740238429
introd,Bias_kwh,2994.38836453718,8473.31178970634,1505.69783452767
introd,MAPE_pct,7.58279051988832,11.2152432320084,7.34481399178904
introd,delta_from_best_RMSE,984.791953743464,2683.12587322835,0
introd,underperform_flag,ok,high_gap,ok
issime,n_obs,9,9,9
issime,MAE_kwh,6906.44705021053,7243.09824357615,6934.94073454478
issime,RMSE_kwh,11069.3148760836,8701.58711480681,8816.70173239366
