"model","comune_key","comune_nome","n_obs","actual_total","pred_total","mae","rmse","bias","mape","coverage_90","total_rel_error"
"multilevel","saint pierre","Saint-Pierre",9,8448,10430.0105747531,365.838297233475,524.007328021038,220.223397194793,0.330638116185887,1,0.234612994170589
"multilevel","saint rhemy en bosses","Saint-Rhémy-en-Bosses",9,6294,1826.03379825952,496.440689082276,703.359434223578,-496.440689082276,0.589344246821497,0.666666666666667,-0.709877057791624
"multilevel","saint vincent","Saint-Vincent",9,59218,42656.0996631114,2250.75371284139,2590.97629801833,-1840.21114854318,0.355028925933834,1,-0.279676793152227
"multilevel","sarre","Sarre",9,26239,8363.35355133304,1986.18293874077,2750.06109318114,-1986.18293874077,0.608254961502116,0.777777777777778,-0.681262488992224
"multilevel","torgnon","Torgnon",9,14102,5270.13139368948,981.318734034502,1218.03527396593,-981.318734034502,0.506470625382459,0.777777777777778,-0.62628482529503
"multilevel","valgrisenche","Valgrisenche",9,10192,2325.78573690875,874.023807010139,1363.71043821919,-874.023807010139,0.645226229293608,0.555555555555556,-0.771802812312721
"multilevel","valpelline","Valpelline",9,4900,2850.11025395506,257.597708721722,427.259453613307,-227.765527338327,0.380852264646801,1,-0.418344846131621
"multilevel","valsavarenche","Valsavarenche",9,25334,2870.52711146562,2495.94143205938,3656.14791205434,-2495.94143205938,0.752489248463235,0.222222222222222,-0.886692701055277
"multilevel","valtournenche","Valtournenche",9,135375,14269.8501141714,13456.1277650921,15327.1879251993,-13456.1277650921,0.883761495897841,0.111111111111111,-0.894590211529666
"multilevel","verrayes","Verrayes",9,3739,7786.10833376332,449.67870375148,643.440004362962,449.67870375148,0.959141170537264,1,1.08240394056254
"multilevel","verres","Verrès",9,1870,30076.3366728007,3134.03740808896,4096.05090108652,3134.03740808896,13.0581504843522,0,15.0836024988239
"multilevel","villeneuve","Villeneuve",9,2581,27253.9734555344,2741.44149505937,3347.09890351085,2741.44149505937,10.2965937077247,0.111111111111111,9.55946278788623
"nnetar_share","allein","Allein",9,221,228.609557106305,2.30526718857751,3.53433409911011,0.845506345145044,0.14035747177341,0.888888888888889,0.0344323850964045
"nnetar_share","antey saint andre","Antey-Saint-André",9,16799,16432.6674227693,154.494366163949,200.262822267729,-40.7036196923025,0.110139858621218,1,-0.0218068085737676
"nnetar_share","aosta","Aosta",9,121478,121513.234692833,1424.21947487256,2237.78364654561,3.91496587035464,0.10814110224003,1,0.00029004999121814
"nnetar_share","arnad","Arnad",9,3474,3543.98232321281,41.4124164942687,67.695868077832,7.77581369031195,0.113228470752785,1,0.0201445950526216
"nnetar_share","arvier","Arvier",9,8747,8820.85230907854,88.6151829434194,106.491461059047,8.20581211983737,0.137618926778832,1,0.00844315869195571
"nnetar_share","avise","Avise",9,916,932.990331154859,11.5295021263698,19.7064652222663,1.88781457276215,0.121432436495566,1,0.0185483964572701
"nnetar_share","ayas","Ayas",9,66587,66141.603973099,695.883831938732,945.410911643945,-49.4884474334437,0.130175001502694,1,-0.0066889336792617
"nnetar_share","aymavilles","Aymavilles",9,5712,5637.06195438026,55.8840123565556,72.6912443687756,-8.32644951330437,0.119154632881152,1,-0.0131194057457527
"nnetar_share","bard","Bard",9,6889,6862.03767220547,76.2386012220792,109.951966360866,-2.99581419939249,0.116920367830033,1,-0.00391382316657454
"nnetar_share","bionaz","Bionaz",9,8769,9371.72911519923,113.865863898628,181.27775434523,66.9699016888038,0.156852992628446,1,0.0687340763142016
"nnetar_share","brissogne","Brissogne",9,365,360.629839539179,4.23116428179157,6.28730145431745,-0.485573384535719,0.113116114213888,1,-0.011973042358415
"nnetar_share","brusson","Brusson",9,24069,23895.6665226057,218.958930477768,331.820591422348,-19.2592752660353,0.112499397634624,1,-0.00720152384371254
"nnetar_share","challand saint anselme","Challand-Saint-Anselme",9,4865,4974.31841700874,56.8897271542786,88.5992920730972,12.1464907787489,0.119294903474643,1,0.0224703837633588
"nnetar_share","challand saint victor","Challand-Saint-Victor",9,341,325.138616727948,3.69707320527244,4.10793369258077,-1.76237591911684,0.128156690351015,1,-0.046514320445899
"nnetar_share","chambave","Chambave",9,1334,1316.0028844637,14.1209236874779,19.3749345999711,-1.99967950403283,0.110572758344895,1,-0.0134910911066683
"nnetar_share","chamois","Chamois",9,3080,3109.9194428973,33.7636901445188,46.2344156537699,3.3243825441444,0.160668045567676,1,0.0097141048367856
"nnetar_share","champdepraz","Champdepraz",9,2921,3017.11763766416,40.5113094779267,72.7341155091751,10.6797375182397,0.12069378361925,1,0.0329057301143985
"nnetar_share","champorcher","Champorcher",9,5002,4999.39832694009,44.851375474408,65.0135504164988,-0.289074784434272,0.124463052663363,1,-0.000520126561357164
"nnetar_share","charvensod","Charvensod",9,19464,19616.519792101,238.192759825328,392.032429743737,16.94664356678,0.108321373889116,1,0.00783599425097711
"nnetar_share","chatillon","Châtillon",9,25773,25664.4152169379,287.104371772751,427.081723083188,-12.0649758957905,0.108408687882354,1,-0.00421312160253417
"nnetar_share","cogne","Cogne",9,62861,63879.6876737586,728.932984309013,1141.41916616024,113.187519306511,0.11897949451924,1,0.0162054003874994
"nnetar_share","courmayeur","Courmayeur",9,231129,241184.495279177,3065.0714487515,4911.13437564599,1117.27725324192,0.139070717582871,1,0.0435059870426354
